1	5.0	0.0
5	24.659999999999993	8.02297206826004
10	53.260000000000005	17.340686086178767
50	266.56	76.7612486410252
100	518.62	147.5485730671138
250	1239.7099999999996	408.8824210484284
500	2576.2300000000005	763.9759879747663
1000	5170.4299999999985	1429.8908784741002
2000	9631.320000000002	3082.8439181765893
3000	13933.470000000003	3837.1734374393213
4000	16274.900000000009	4593.465163917236
5000	21091.94	5997.094282629502
6000	24232.49	6578.30778875049
7000	27212.92	7544.468139550119
8000	27997.359999999997	8214.402369821759
9000	30587.740000000005	8626.830261223387
10000	34480.73999999998	8839.449265969944
11000	36182.64000000002	9858.219600276345
