1	2.922179909149807E-7	7.346288833484245E-6
5	7.662204184293748E-7	1.4629128382689489E-5
10	1.3979195774396264E-6	2.125918465638203E-5
50	7.1529525143305456E-6	3.8978272766116435E-5
100	1.4237515015792844E-5	5.255430495435394E-5
250	3.3389328999328616E-5	6.840535082160706E-5
500	6.56716461964925E-5	1.4151348405475633E-4
1000	1.304193851826986E-4	1.2723594229870828E-4
2000	2.579865275553386E-4	2.0722899491406647E-4
3000	3.5164189278564465E-4	2.780400897619226E-4
4000	5.050784252115885E-4	2.5012830392613975E-4
5000	6.021384016438802E-4	2.976465301280042E-4
6000	6.913420478759766E-4	3.5389311714018523E-4
7000	7.782318516601562E-4	3.0504327526739E-4
8000	8.441277831868491E-4	3.2480810732101443E-4
9000	9.310129112874353E-4	2.9248327689441404E-4
10000	0.0010989911680664062	4.129275974540778E-4
11000	0.0011795123827473956	4.0412197724255014E-4
